Type,File name,Nodes count,Nodes in main,Prop
small,git.incubator-wayang.tdag,3120,584,0.18717948717948718
small,git.answer.tdag,7241,811,0.11200110481977628
small,git.flink-cdc.tdag,6615,1340,0.20256991685563114
small,git.horaedb.tdag,6216,1010,0.16248391248391247
small,git.guacamole-server.tdag,4648,1320,0.28399311531841653
small,git.age.tdag,3673,698,0.19003539341138034
small,git.sdap-ingester.tdag,688,182,0.26453488372093026
small,git.incubator-livy.tdag,2155,523,0.24269141531322505
small,git.incubator-toree.tdag,1627,893,0.5488629379225568
small,git.sedona.tdag,8139,1788,0.21968300774050867
small,git.incubator-teaclave.tdag,2005,763,0.38054862842892767
small,git.fury.tdag,5834,1198,0.20534796023311622
small,git.incubator-pagespeed-ngx.tdag,7399,654,0.08839032301662386
small,git.incubator-hivemall.tdag,4172,875,0.20973154362416108
small,git.WSL.tdag,840,327,0.3892857142857143
medium,git.PowerShell.tdag,49829,7339,0.14728371028918902
medium,git.apisix.tdag,30774,4464,0.14505751608500683
medium,git.mesos.tdag,23302,18440,0.7913483821131233
medium,git.openwhisk.tdag,12971,3094,0.23853211009174313
medium,git.gimp.tdag,69868,52261,0.7479962214461556
medium,git.couchdb.tdag,25671,6740,0.26255307545479334
medium,git.hive.tdag,60519,13947,0.23045655083527486
medium,git.incubator-pagespeed-mod.tdag,14468,5005,0.34593585844622615
medium,git.cassandra.tdag,51376,15205,0.29595530987231394
medium,git.eventmesh.tdag,18378,2204,0.11992599847643923
medium,git.kvrocks.tdag,12608,1811,0.14363895939086294
medium,git.pulsar.tdag,84251,13458,0.1597369764157102
medium,git.druid.tdag,70919,10896,0.1536400682468732
medium,git.vuejs-core.tdag,21524,5936,0.275785170042743
medium,git.eclipse.platform.tdag,49585,9510,0.19179187254209942
medium,git.openwrt-packages.tdag,75794,21103,0.278425732907618
medium,git.incubator-devlake.tdag,19474,3808,0.19554277498202732
medium,git.hbase.tdag,76800,20362,0.26513020833333334
medium,git.django.tdag,93186,32625,0.35010623913463396
medium,git.terraform.tdag,90035,17499,0.19435774976398068
medium,git.incubator-pegasus.tdag,14402,1343,0.09325093736980974
medium,git.zookeeper.tdag,13567,2623,0.19333677305225916
medium,git.spring-boot.tdag,71890,28122,0.39118097092780635
medium,git.inkscape.tdag,15400,72,0.004675324675324675
medium,git.PowerToys.tdag,39274,5012,0.12761623465906197
medium,git.postgres.tdag,98547,61461,0.6236719534841243
medium,git.seatunnel.tdag,30112,3777,0.1254317215727949
medium,git.paimon.tdag,17916,4299,0.2399531145344943
medium,git.Nim.tdag,64984,14511,0.22330112027576018
medium,git.lucene.tdag,85671,30561,0.3567251461988304
medium,git.storm.tdag,19173,4061,0.2118082720492359
medium,git.tvm.tdag,76614,12281,0.16029707364189313
medium,git.dolphinscheduler.tdag,46926,4955,0.10559178280697268
medium,git.react.tdag,70406,13668,0.19413118200153395
medium,git.TypeScript.tdag,83155,13997,0.1683242138175696
medium,git.docker-ce.tdag,59437,2497,0.04201086865084039
medium,git.celeborn.tdag,13454,2336,0.17362866062137655
medium,git.eclipse.platform.swt.tdag,35813,30684,0.8567838494401474
medium,git.shenyu.tdag,22762,3310,0.1454178015991565
medium,git.incubator-seata.tdag,27256,307,0.011263574992662166
medium,git.opencv.tdag,84311,13021,0.1544401086453725
medium,git.terminal.tdag,31602,2575,0.08148218467185621
medium,git.nifi.tdag,39820,9538,0.23952787543947765
medium,git.rocketmq.tdag,23168,1445,0.062370511049723756
medium,git.streampark.tdag,16332,1808,0.11070291452363458
medium,git.moby.tdag,83956,18746,0.22328362475582447
medium,git.spring-framework.tdag,53177,26702,0.5021343814054948
medium,git.incubator-superset.tdag,12438,9538,0.7668435439781315
medium,git.linkis.tdag,12070,616,0.05103562551781276
medium,git.laravel.tdag,16290,3591,0.22044198895027625
medium,git.vuejs-vue.tdag,12839,3401,0.2648960199392476
medium,git.eclipse.platform.ui.tdag,93275,30127,0.32299115518627713
medium,git.opendal.tdag,16331,3533,0.21633702773865654
medium,git.skywalking.tdag,34317,5855,0.17061514701168518
large,git.kubernetes.tdag,264161,54912,0.20787322882635967
large,git.doris.tdag,164537,25717,0.15629919106340823
large,git.aspnetcore.tdag,120235,13069,0.10869547136856988
large,git.arrow.tdag,117100,17624,0.15050384286934243
large,git.angular.tdag,146085,32424,0.22195297258445426
large,git.ruby.tdag,167518,92057,0.549534975345933
large,git.node.tdag,217316,41041,0.18885401903219276
large,git.godot.tdag,143729,36914,0.25683056307356206
large,git.airflow.tdag,155598,28636,0.18403835524878212
large,git.roslyn.tdag,193622,23801,0.1229250808275919
large,git.rust.tdag,454658,42945,0.09445561279027313
large,git.scikit-learn.tdag,164426,17985,0.10938051159792248
large,git.go.tdag,137595,59760,0.434318107489371
large,git.swift.tdag,265418,70109,0.2641456118273817
large,git.tensorflow.tdag,261788,125415,0.4790708512231271
large,git.kafka.tdag,120197,15285,0.1271662354301688
large,git.ignite.tdag,143991,7089,0.049232243681896784
large,git.ansible.tdag,246990,46585,0.18861087493420786
large,git.camel.tdag,156099,70818,0.45367363019622164
large,git.cpython.tdag,529659,91998,0.1736928854225077
large,git.hadoop.tdag,110973,24813,0.22359492849612067
large,git.homebrew-core.tdag,1132291,445813,0.39372652436520295
large,git.flutter.tdag,371602,41939,0.11285999537139198
large,git.shardingsphere.tdag,105913,24975,0.2358067470471047
large,git.kotlin.tdag,225538,110978,0.4920589878424035
large,git.bitcoin.tdag,175184,15983,0.09123550095899169
large,git.runtime.tdag,501413,34967,0.0697369234543181
large,git.pandas.tdag,196546,31296,0.15922990037955492
large,git.flink.tdag,126157,33223,0.26334646511885984
large,git.beam.tdag,198905,21280,0.10698574696463135
large,git.git.tdag,187388,23076,0.12314555894721113
large,git.symfony.tdag,131646,17411,0.13225620223933884
large,git.react-native.tdag,112782,34677,0.3074692770122892
large,git.homebrew-cask.tdag,515457,206505,0.4006250763885251
large,git.rails.tdag,152557,44069,0.28886907844281157
large,git.jdk.tdag,253743,25902,0.10207966328135161
large,git.electron.tdag,102066,14591,0.14295651833127584
large,git.fdroiddata.tdag,121925,109326,0.896665983186385
large,git.llvm-project.tdag,1145746,532312,0.4645986108613951
large,git.spark.tdag,332366,39474,0.11876666084978608
large,git.vscode.tdag,232068,63919,0.27543220090663084
large,git.pytorch.tdag,833027,82614,0.09917325608893829
